employee_id,first_name,last_name,job_title,department,email,phone_number,address,date_of_birth,hire_date,salary,is_active,password
7f1226f9-1fc0-4b7e-ae04-1527f61daecc,Mark,Hughes,Agricultural engineer,HR,zmorse@example.org,+1-618-768-9812x32532,Kansas,2001-10-18,2021-02-11,91802,False,D77%*oGs&X
122f1c64-4887-4f18-8d13-03b0a63e7307,James,Blackwell,Engineer- civil (contracting),Finance,frank42@example.com,2454541803,California,1998-03-31,2022-11-13,116779,False,$I$7*ELxc3
75d723fe-cbaa-404e-b22d-ae5766943539,Christy,Lester,Insurance account manager,Marketing,diazpreston@example.com,(372)547-4276,Nebraska,1985-09-05,2020-01-01,116179,False,#p^48M0x3_
2147b184-699f-44a2-948d-62a35d209d21,Matthew,Davidson,Materials engineer,Engineering,qfisher@example.org,(364)766-3307x53905,Rhode Island,1965-09-25,2021-02-19,84278,False,@*7aQmFZ_4
d6da492f-c0eb-479d-b175-1e5c8c9f59ca,Ashley,Patterson,Physicist- medical,IT,melanie05@example.com,(944)215-7654,Oklahoma,1994-02-17,2020-04-06,95610,False,FK7RIxvF_+
fc3cb163-e3b0-4bf1-8a15-414bda2aba3b,Emily,Richards,Adult nurse,Engineering,hdean@example.com,720-434-3924x92270,Texas,1972-07-20,2021-10-23,149976,False,4pjL61%q_h
8e5a37c2-dc92-4689-aba9-83e4aed770a2,Bradley,Kent,Museum/gallery curator,Finance,vsalinas@example.net,(575)616-9966,North Dakota,1998-01-11,2023-03-04,105879,True,i#S$i6Cu!q
94a8061e-ec3d-4acd-8673-cb0fee3f5ce5,Samuel,Peterson,Control and instrumentation engineer,Sales,kcarroll@example.com,001-640-822-9668x10936,Washington,1996-05-10,2024-03-20,63550,True,_7xw6LbadD
a19b376b-6413-4150-bf83-c820bb9bdf57,Bobby,Ramos,Forensic psychologist,Finance,christopheryoung@example.org,(543)526-7779x360,Oklahoma,1974-07-24,2020-10-13,138394,False,)2LsLsX(*o
7d7933ac-42d1-4511-8a28-7a59e0ad94fd,Alex,Gordon,Housing manager/officer,Finance,kellifritz@example.com,356-504-3080x94681,Nebraska,1977-12-03,2022-08-26,86857,False,#1L2Fj*&g@
1c728a37-eaf5-4c69-9efc-45bca59b1b96,Christopher,Ford,Chartered public finance accountant,HR,markskaren@example.net,306-806-7170x230,New York,1993-07-11,2021-11-02,63816,False,!zJQz3dD(9
2bcc7e40-0eac-4385-aab5-85d3335ee55d,Tiffany,Garcia,Doctor- hospital,HR,morrismonica@example.com,(464)739-2292x0143,Rhode Island,1970-11-26,2024-01-20,91357,False,!%YNA3lH59
9d18102e-fec8-4762-8e22-fb62b3d8b366,Lorraine,Dalton,Associate Professor,IT,jacobsjessica@example.org,242.351.6874,South Carolina,1976-02-22,2022-08-30,69760,False,_&53Wf_n_2
df42d712-df7d-4bd1-b2db-cc947dc1a6bf,Dylan,Fuller,Nurse- children's,Marketing,warnerrandy@example.net,001-906-276-2594x998,Kentucky,1960-02-19,2020-10-26,120838,True,@2yDBcwYoQ
b338f401-b07f-40c2-ba2f-52919028f0e6,Chad,Hall,Merchant navy officer,IT,anndavis@example.org,638-745-2705x35283,Wisconsin,1993-04-27,2021-06-25,104751,False,L1e3pE_Y$b
dfb5a976-fc63-44a0-b422-cd4a21773959,Kaitlyn,Roberts,Photographer,Finance,dominguezkimberly@example.com,533.706.6448x5431,Montana,1994-08-30,2020-10-02,126072,False,&7XY4q5c%l
bd2c4a2e-48df-4b13-95bd-892d2847e6d1,Kenneth,Garcia,Haematologist,IT,jacobfleming@example.net,4425978072,Delaware,1966-12-19,2024-05-08,126564,True,)6ld9qYyL+
850009f2-d0f0-472e-ab55-4f5009c66dfb,Garrett,Leach,Systems analyst,Sales,sierra78@example.net,829-418-6544x053,Indiana,1999-03-14,2024-02-05,93228,False,)0#$gTae6x
f0972577-1873-49f1-896a-105b93eb8a78,Patricia,Baird,Gaffer,Marketing,amandaphillips@example.com,001-336-766-5343x5154,Iowa,1968-05-31,2021-12-19,125008,True,6_BQH9VxvW
9d8e0570-d025-4c21-b266-7cf960dc0029,Daniel,Johnson,Amenity horticulturist,Finance,felicia91@example.org,575-227-3623x36815,Connecticut,1996-01-09,2020-04-05,75099,True,(*284P#rTd
4f42713c-c98c-474f-9021-1d299adad0cf,Michael,Koch,Lighting technician- broadcasting/film/video,Finance,joanking@example.com,(502)263-2602x96971,New York,2000-09-25,2022-10-17,66603,True,&0wvUPiLwN
6b7ced97-7656-45a0-be1c-5f712d2fdf9e,Margaret,Wood,Applications developer,IT,dawnwilliams@example.net,4042420807,Virginia,1991-09-16,2022-10-26,130773,True,*8g&QVziqB
5f600a44-b127-4285-9bd7-b923d63c65e2,Allison,Jenkins,Geophysical data processor,Finance,christopherestes@example.org,938-308-0037,New Hampshire,1997-10-27,2022-07-19,121838,False,#1YWNjxAg8
11a32241-6f6d-4c6c-80a2-9c1c9f1e8136,Austin,Clark,Scientist- water quality,Finance,annagrant@example.org,+1-365-731-6128x060,Arizona,1963-02-04,2022-08-12,92128,True,AAbEOli@*6
5da4a090-d3fa-4d07-b81a-844dfa857c58,Tina,Brown,Radiographer- therapeutic,IT,yfrench@example.net,(260)520-4836x18777,South Carolina,1990-04-11,2020-10-10,62140,False,pfMe+%ob_0
c675981c-8af8-4c88-852a-a22693007fef,Jessica,Reynolds,Multimedia programmer,Engineering,wsmith@example.net,(846)535-0660x38259,Alabama,1978-10-01,2020-10-22,92466,True,FIF1N+wyZ!
48d3ec0c-ac59-409b-835f-4ab5fad48565,Sarah,Page,Research officer- trade union,HR,silvaantonio@example.com,+1-986-607-5061x53998,Texas,1981-08-04,2024-10-28,126553,True,+1Q_dx%#Fd
178b5854-86b5-4f11-bb2c-d5332f39a5ce,Susan,Johnson,Designer- jewellery,Finance,steven54@example.com,739-308-2969x846,Florida,1993-04-17,2020-02-02,86928,False,!)rQ9VpaV_
935ed8aa-4c90-4851-b586-67062d138011,Raymond,Young,Local government officer,Sales,jenniferpeck@example.net,+1-641-558-2426x617,Connecticut,1973-03-23,2020-08-21,111095,False,Mj3Nct%B_&
f5638e15-7308-4cd1-8493-ece04a2ae1fb,James,Perez,Hydrographic surveyor,IT,pjordan@example.net,+1-492-691-4408x69296,California,1992-06-13,2020-02-29,63840,False,w)4&EMtMCq
b20cee64-49f6-4d15-b05a-2b4159f4090d,Charles,Long,Teacher- English as a foreign language,Sales,njones@example.com,674.326.6568,Massachusetts,1977-09-24,2023-04-20,130840,True,(&V9^TKrjw
54834442-465f-46ff-94cd-c07b7b97cd1e,Tim,Pham,Amenity horticulturist,Sales,parkskaren@example.com,823.247.5893x83773,Utah,1974-11-05,2023-11-30,70570,True,n9VGnM8_@w
